,resp,resp_simplecorrection,resp_complexcorrection,rsg_gm,Normalized 4Peak-value Fluorescence - Median,Normalized 4Peak-value Fluorescence - Arithmatic Mean
Shewanella14C_T6_1,0.07650602,0.062314677,0.053227057,8.43029,8.671154,18.423058
Shewanella14C_T6_2,0.088157515,0.0718049,0.059923821,10.678354,12.308818,20.498194
ShewanellaLowCarbon_T4_1,0.017742522,0.014451406,0.013953085,6.7196,7.84357,8.912018
ShewanellaLowCarbon_T4_2,0.015855727,0.012914598,0.012594276,5.9846,7.47301,8.590866
ShewanellaLowCarbon_T5_1,0.010084775,0.008214118,0.007991376,6.596018,7.139506,7.930034
ShewanellaLowCarbon_T5_2,0.009396371,0.007653409,0.007473245,6.243986,8.115314,8.813202
Pseudomonas22C_T4_1,0.729102723,0.593859161,0.532762183,19.936184,23.135346,24.006162
Pseudomonas22C_T4_2,0.740155295,0.602861557,0.526605811,20.77612,23.919698,24.994322
Pseudomonas22C_T4_3,0.707039869,0.575888816,0.508483165,26.007192,29.996882,30.966514
Pseudomonas22C_T5_1,0.282431462,0.23004236,0.237788312,21.035512,24.203794,24.771986
Pseudomonas22C_T5_2,0.270643431,0.220440928,0.229778403,21.751928,25.025202,25.902194
Pseudomonas22C_T5_3,0.281065216,0.228929543,0.253540741,15.03244,17.212562,17.928978
Ruegaria22C_T4_1,1.543732292,1.257380524,1.231940408,28.391572,37.6884274,43.4382834
Ruegaria22C_T4_2,1.421549504,1.157861807,1.127176678,34.975188,45.6616434,50.1948274
Ruegaria22C_T4_3,1.317509414,1.073120441,1.047957936,33.171796,43.2035954,47.1871154
Ruegaria22C_T6_1,0.659274048,0.536983227,0.957510212,17.781204,22.647442,27.748818
Ruegaria22C_T6_2,0.516452355,0.42065398,0.754494352,26.297908,34.455954,38.241842
Ruegaria22C_T6_3,0.521080065,0.424423282,0.761255054,30.35554,40.465202,43.54085
Roseobacter22C_T4_1,0.021390298,0.017422544,0.016992572,5.817842,7.343314,10.12869
Roseobacter22C_T4_2,0.021902854,0.017840025,0.017544747,5.039666,6.318098,8.64645
Roseobacter22C_T4_3,0.022207156,0.018087881,0.017641488,4.81733,5.891954,8.603218
Roseobacter22C_T5_1,0.012724582,0.010364259,0.010474728,9.41845,11.530642,22.338642
Roseobacter22C_T5_2,0.008503386,0.006926066,0.006769123,8.572338,11.092146,20.96757
Roseobacter22C_T5_3,0.010195106,0.008303984,0.007936792,6.151346,7.590354,16.687602
Roseobacter22C_T6_1,0.012908185,0.010513805,0.01021718,11.450354,15.90325,20.93669
Roseobacter22C_T6_2,0.01322381,0.010770884,0.010526817,9.869298,14.062802,17.614002
Roseobacter22C_T6_3,0.044866775,0.036544296,0.035897203,7.72005,10.727762,14.618642
Roseobacter14C_T6_1,0.02914646,0.023739991,0.022631606,2.77925,3.143634,6.954226
Roseobacter14C_T6_2,0.025861031,0.021063987,0.019966446,3.11893,3.631538,7.015986
Roseobacter14C_T7_1,0.012857898,0.010472846,0.00939143,3.909458,4.625874,7.34949
Roseobacter14C_T7_2,0.013164098,0.010722248,0.009615079,2.834834,3.14981,6.552786
Oligotropha22C_T7_1,0.002287759,0.002287759,0.002335553,0.734994,0.5423028,1.179666
Oligotropha22C_T7_2,0.00267991,0.00267991,0.002693148,0.630002,0.4595444,0.994386
Oligotropha22C_T8_1,0.004310203,0.004310203,0.004572134,0.778226,0.5799764,1.229074
Oligotropha22C_T8_2,0.00375379,0.00375379,0.004023823,0.80293,0.611474,1.229074
Rhodoluna22C_T4_1,0.018999334,0.015475088,0.001716827,1.661394,1.432882,2.248114
Rhodoluna22C_T4_2,0.01006235,0.008195853,0.000987613,1.48229,1.309362,1.908434
Vibrio22C_T3_1,0.0053438,0.004352562,0.042246189,2.248114,2.414866,3.217746
Vibrio22C_T3_2,0.005258974,0.00428347,0.041467876,2.84101,3.106578,4.29237
Vibrio22C_T4_1,0.010112211,0.008236465,0.018192117,3.526546,4.156498,5.546098
Vibrio22C_T4_2,0.006489075,0.005285396,0.011607676,3.575954,4.051506,5.947538
Vibrio14C_T2_1,0.002112308,0.001720489,0.001708502,1.006738,0.691762,1.920786
Vibrio14C_T2_2,0.001743918,0.001420433,0.00134001,1.074674,0.697938,2.25429
Vibrio14C_T2_3,0.001792395,0.001459918,0.001377259,0.975858,0.636178,1.97637
Vibrio14C_T3_1,0.002532613,0.002062831,0.004949618,0.827634,0.475602,1.45141
Vibrio14C_T3_2,0.005444708,0.004434752,0.004259466,0.95733,0.605298,1.66757
Vibrio14C_T3_3,0.005188266,0.004225878,0.00412531,1.099378,0.716466,1.94549
Pseudomonas22C_T2_3,3.357204838,2.734466333,2.56004763,33.0046,40.366386,43.794066
Pseudomonas22C_T2_1,3.221099096,2.623607274,2.532058226,32.516696,39.785842,40.631954
Pseudomonas22C_T2_2,3.164739202,2.577701754,2.676899436,33.399864,41.447186,42.571218